Date,Open,High,Low,Close,Volume,Chg%
27-Jan-23,14.655,18.0125,14.5825,17.32,0,18.18%
30-Jan-23,17.32,19.39,17.29,17.71,0,2.25%
31-Jan-23,17.71,18.3675,16.565,16.875,0,-4.71%
01-Feb-23,16.875,18.54,14.8475,16.78,0,-0.56%
02-Feb-23,16.78,17.7675,15.5075,15.7325,0,-6.24%
03-Feb-23,15.7325,15.7575,14.27,14.3975,0,-8.49%
06-Feb-23,14.3975,15.205,14.185,14.6875,0,2.01%
07-Feb-23,14.6875,14.875,13.665,14.125,0,-3.83%
08-Feb-23,14.125,14.2475,13.535,13.595,0,-3.75%
09-Feb-23,13.595,13.815,12.0625,13.04,0,-4.08%
10-Feb-23,13.04,13.2775,12.2075,12.745,0,-2.26%
13-Feb-23,12.745,14.095,11.83,13.68,0,7.34%
14-Feb-23,13.68,13.68,12.4525,13.4525,0,-1.66%
15-Feb-23,13.4525,13.4525,11.28,12.86,0,-4.40%
16-Feb-23,12.86,13.1625,10.1725,12.89,0,0.23%
17-Feb-23,12.89,13.52,10.8025,13.085,0,1.51%
20-Feb-23,13.085,13.7075,10.9225,13.3825,0,2.27%
21-Feb-23,13.3825,14.295,13.3825,14.0075,0,4.67%
22-Feb-23,14.0075,15.915,12.3775,15.5875,0,11.28%
23-Feb-23,15.5875,16.01,14.5175,15.075,0,-3.29%
24-Feb-23,15.075,15.1425,14.0075,14.185,0,-5.90%
27-Feb-23,14.185,15.0975,13.75,13.875,0,-2.19%
28-Feb-23,13.875,14.5675,13.5,14.02,0,1.05%
01-Mar-23,14.02,14.02,12.275,12.995,0,-7.31%
02-Mar-23,12.995,13.55,11.1,12.97,0,-0.19%
03-Mar-23,12.97,12.97,11.98,12.18,0,-6.09%
06-Mar-23,12.18,12.4725,11.8375,12.2675,0,0.72%
08-Mar-23,12.2675,12.8475,11.8975,12.45,0,1.49%
09-Mar-23,12.45,12.8425,11.78,12.725,0,2.21%
10-Mar-23,12.725,13.8175,12.725,13.4125,0,5.40%
13-Mar-23,13.4125,16.4275,13.4125,16.215,0,20.89%
14-Mar-23,16.215,16.6425,15.0025,16.2175,0,0.02%
15-Mar-23,16.2175,16.505,14.5175,16.295,0,0.48%
16-Mar-23,16.295,17.355,13.95,16.2175,0,-0.48%
17-Mar-23,16.2175,16.2175,14.6,14.7675,0,-8.94%
20-Mar-23,14.7675,17.22,14.52,16.0075,0,8.40%
21-Mar-23,16.0075,16.035,14.0825,15.0825,0,-5.78%
22-Mar-23,15.0825,15.0925,14.2425,14.8075,0,-1.82%
23-Mar-23,14.8075,15.0575,13.9025,14.49,0,-2.14%
